id,category,item,price,rating,reviews,url
B0DZX4M8GM,Appliances,"Sweetcrispy Countertop Ice Maker, Portable Ice Machine Self-Cleaning, 9 Cubes in 6 Mins, 26 lbs/24Hrs, 2 Sizes of Bullet Ice for Home Party Office4.3 out of 5 stars472 offers from$47.98",Not Found,4.3 out of 5 stars,47,https://www.amazon.com/product-reviews/B0DZX4M8GM/ref=zg_bs_g_appliances_d_sccl_6_cr/000-0000000-0000000
B08ZYJ8CRX,Appliances,"Silonn Ice Maker Countertop, 9 Cubes Ready in 6 Mins, 26lbs in 24Hrs, Self-Cleaning Ice Machine with Ice Scoop and Basket, 2 Sizes of Bullet Ice for Home Kitchen Office Bar Party4.3 out of 5 stars23,5124 offers from$50.82",Not Found,4.3 out of 5 stars,"23,512",https://www.amazon.com/product-reviews/B08ZYJ8CRX/ref=zg_bs_g_appliances_d_sccl_7_cr/000-0000000-0000000
B0CQJBB6V3,Appliances,"ZAFRO Countertop Ice Maker,Portable Ice Machine with Carry Handle,Self-Cleaning,Basket and Scoop,9 Cubes in 6 Mins,26.5lbs/24Hrs,2 Sizes of Bullet Ice,for Home,Kitchen,Party,Black,Green4.4 out of 5 stars79813 offers from$54.27",Not Found,4.4 out of 5 stars,798,https://www.amazon.com/product-reviews/B0CQJBB6V3/ref=zg_bs_g_appliances_d_sccl_8_cr/000-0000000-0000000
B0002YTLZY,Appliances,"Broan-NuTone 413001 Non-Ducted Ductless Range Hood with Lights Exhaust Fan for Under Cabinet, 30-Inch, White4.6 out of 5 stars19,61141 offers from$56.30",Not Found,4.6 out of 5 stars,"19,611",https://www.amazon.com/product-reviews/B0002YTLZY/ref=zg_bs_g_appliances_d_sccl_9_cr/000-0000000-0000000
B09RWFZTWW,Appliances,"Upstreman 3.2 Cu.Ft Mini Fridge with Freezer, Single Door Mini Fridge, Dorm Fridge, Adjustable Thermostat, Mini Refrigerator for Bedroom, Office, Dorm, Black-BR3214.4 out of 5 stars4,0931 offer from$149.99",Not Found,4.4 out of 5 stars,"4,093",https://www.amazon.com/product-reviews/B09RWFZTWW/ref=zg_bs_g_appliances_d_sccl_10_cr/000-0000000-0000000
B0DS5DLPXH,Appliances,"Sweetcrispy Countertop Ice Maker with Scoop, Basket and Handle, 9 Ice Cubes Machine Ready in 6 Mins, 26.5lbs in 24Hrs, 2 Sizes for Home Kitchen Office Bar Party(Black)4.1 out of 5 stars3623 offers from$54.31",Not Found,4.1 out of 5 stars,362,https://www.amazon.com/product-reviews/B0DS5DLPXH/ref=zg_bs_g_appliances_d_sccl_11_cr/000-0000000-0000000
B0CQT26VCW,Appliances,"Midea MERC07C4BAWW 7.0 Cubic Feet Chest Freezer Cu.ft-Convertible, White4.4 out of 5 stars10,2456 offers from$264.59",Not Found,4.4 out of 5 stars,"10,245",https://www.amazon.com/product-reviews/B0CQT26VCW/ref=zg_bs_g_appliances_d_sccl_12_cr/000-0000000-0000000
B0C9SWH3RC,Appliances,"Nugget Ice Maker Countertop, Silonn Chewable Pellet Ice Machine with Self-Cleanin Function, 33lbs/24H Portable Ice Makers for Home Kitchen Officce, Black4.3 out of 5 stars4,5218 offers from$102.98",Not Found,4.3 out of 5 stars,"4,521",https://www.amazon.com/product-reviews/B0C9SWH3RC/ref=zg_bs_g_appliances_d_sccl_13_cr/000-0000000-0000000
B0B6BXYVVQ,Appliances,"COWSAR Ice Maker Countertop, Portable Ice Machine with Self-Cleaning, 26.5lbs/24Hrs, 9 Bullet Ice Cubes in 6 Mins, Ice Basket and Scoop, Ideal for Home, Kitchen, Bar, Camping4.4 out of 5 stars4,4722 offers from$72.79",Not Found,4.4 out of 5 stars,"4,472",https://www.amazon.com/product-reviews/B0B6BXYVVQ/ref=zg_bs_g_appliances_d_sccl_14_cr/000-0000000-0000000
B0799Q45TT,Appliances,"BLACK+DECKER 0.9 Cu. Ft. Portable Washer, 6.6 lb. Capacity Washing Machine for Homes & Apartments, 5 Wash Cycles, Quick Connect Sink Adapter and Drain Hose Included, Transparent Lid & LED Display, BPWM09W, White4.4 out of 5 stars7,7964 offers from$239.65",Not Found,4.4 out of 5 stars,"7,796",https://www.amazon.com/product-reviews/B0799Q45TT/ref=zg_bs_g_appliances_d_sccl_15_cr/000-0000000-0000000
